Company,Predicted SDG Component,Percentage Prediction,Keywords
Metrofile Group,GOAL 11: Sustainable Cities and Communities,15.4%,
HCI,GOAL 12: Responsible Consumption and Production,97.3%,sustainable
Bell,"GOAL 9: Industry, Innovation and Infrastructure",84.0%,manufacturing
Santova,"GOAL 9: Industry, Innovation and Infrastructure",92.2%,logistics
enX Group,GOAL 12: Responsible Consumption and Production,90.2%,
CAS,GOAL 12: Responsible Consumption and Production,96.3%,sustainable
Adcorp,GOAL 5: Gender Equality,99.3%,"women, equity"
Reunert,GOAL 11: Sustainable Cities and Communities,15.4%,
DRA Global,"GOAL 16: Peace, Justice and Strong Institutions",95.8%,"governance, transparency, law"
Aveng,GOAL 12: Responsible Consumption and Production,87.6%,sustainable
Master Drilling,GOAL 7: Affordable and Clean Energy,62.8%,
Celcius resources,"GOAL 16: Peace, Justice and Strong Institutions",52.0%,governance
Hulamin,GOAL 12: Responsible Consumption and Production,52.0%,
WBHO,GOAL 12: Responsible Consumption and Production,87.3%,
Workfore,GOAL 12: Responsible Consumption and Production,97.3%,
Deneb,GOAL 2: Zero Hunger,93.5%,plant
Raubex,GOAL 12: Responsible Consumption and Production,68.5%,
Insimbi,GOAL 12: Responsible Consumption and Production,98.5%,
KAP,GOAL 11: Sustainable Cities and Communities,15.4%,
Frontier Transport Holdings,GOAL 12: Responsible Consumption and Production,63.8%,
Hudaco,GOAL 7: Affordable and Clean Energy,96.8%,efficiency
Omnia,GOAL 8: Decent Work and Economic Growth,75.5%,
Barloworld,GOAL 5: Gender Equality,48.5%,equity
South Ocean Holdings,GOAL 8: Decent Work and Economic Growth,66.6%,
Invicta,GOAL 12: Responsible Consumption and Production,80.6%,"efficiency, sustainable, recycling, renewable"
Murray & Roberts,GOAL 12: Responsible Consumption and Production,56.2%,
