Company,Predicted SDG Component,Percentage Prediction,Keywords
Crookes Brothers,GOAL 2: Zero Hunger,98.8%,"agriculture, perishable"
Choppies,GOAL 12: Responsible Consumption and Production,86.3%,
Astral,GOAL 2: Zero Hunger,92.5%,"sustainability, agriculture"
ADvTech,GOAL 13: Climate Action,36.6%,"policy, mitigation"
Curro,"GOAL 9: Industry, Innovation and Infrastructure",97.5%,
Libstar,GOAL 8: Decent Work and Economic Growth,40.3%,
Oceana Group,GOAL 14: Life Below Water,97.8%,fisheries
Brimstone,GOAL 13: Climate Action,66.3%,
AVI,"GOAL 9: Industry, Innovation and Infrastructure",74.9%,
ABInBev,GOAL 12: Responsible Consumption and Production,89.8%,sustainable
BAT,GOAL 12: Responsible Consumption and Production,92.5%,
AH Vest,GOAL 8: Decent Work and Economic Growth,75.8%,wages
Sea Harvest Group,GOAL 12: Responsible Consumption and Production,52.4%,packaging
Quantum Foods,GOAL 12: Responsible Consumption and Production,92.1%,
RCL Foods,GOAL 8: Decent Work and Economic Growth,75.7%,
