Company,Predicted SDG Component,Percentage Prediction,Keywords
Exxaro,GOAL 11: Sustainable Cities and Communities,15.4%,
Renergen,GOAL 12: Responsible Consumption and Production,68.8%,
Paladin,"GOAL 16: Peace, Justice and Strong Institutions",77.0%,"governance, accountability"
Bannerman Energy,"GOAL 9: Industry, Innovation and Infrastructure",98.7%,construction
MC Mining,GOAL 8: Decent Work and Economic Growth,75.6%,
Deep Yellow,GOAL 12: Responsible Consumption and Production,83.7%,
