Company,Predicted SDG Component,Percentage Prediction,Keywords
Huge Group,"GOAL 16: Peace, Justice and Strong Institutions",87.9%,governance
Vodacom,"GOAL 9: Industry, Innovation and Infrastructure",99.2%,technology
Mr-Price-,GOAL 12: Responsible Consumption and Production,85.4%,
Naspers,"GOAL 9: Industry, Innovation and Infrastructure",98.5%,efficiency
Blue Label,GOAL 12: Responsible Consumption and Production,53.4%,
eMedia,GOAL 11: Sustainable Cities and Communities,15.4%,
Multichoice,GOAL 12: Responsible Consumption and Production,97.1%,
Caxton & CTP,GOAL 12: Responsible Consumption and Production,98.9%,packaging
AME,"GOAL 9: Industry, Innovation and Infrastructure",58.5%,
Prosus,"GOAL 9: Industry, Innovation and Infrastructure",98.5%,efficiency
Paratus,GOAL 12: Responsible Consumption and Production,53.1%,
