Company,Predicted SDG Component,Percentage Prediction,Keywords
EOH,GOAL 8: Decent Work and Economic Growth,87.1%,
AYO Technology,GOAL 12: Responsible Consumption and Production,92.6%,
Nu-World-,"GOAL 9: Industry, Innovation and Infrastructure",78.6%,manufacturing
MTN,GOAL 3: Good Health and Well-being,98.3%,vaccination
Lesaka,"GOAL 9: Industry, Innovation and Infrastructure",21.5%,technology
Mustek,"GOAL 9: Industry, Innovation and Infrastructure",97.5%,"efficiency, technology"
PBT Group,GOAL 12: Responsible Consumption and Production,96.8%,efficiency
Datatec,"GOAL 9: Industry, Innovation and Infrastructure",99.1%,technology
