Company,Predicted SDG Component,Percentage Prediction,Keywords
Aban,GOAL 12: Responsible Consumption and Production,54.4%,
Coal India Limited,GOAL 12: Responsible Consumption and Production,92.1%,"efficiency, sustainable"
Castrol,"GOAL 9: Industry, Innovation and Infrastructure",65.3%,"technology, manufacturing, efficiency"
MRPL,"GOAL 16: Peace, Justice and Strong Institutions",99.3%,governance
IndianOil,GOAL 7: Affordable and Clean Energy,96.0%,"renewable, wind, solar, sustainable, conservation, efficiency"
Reliance Industries Limited,GOAL 12: Responsible Consumption and Production,94.2%,"sustainable, efficiency, packaging"
BPCL,GOAL 12: Responsible Consumption and Production,96.3%,sustainable
Chennai Petroleum Corporation Ltd,"GOAL 9: Industry, Innovation and Infrastructure",45.5%,"efficiency, technology"
Petronet LNG Limited,"GOAL 9: Industry, Innovation and Infrastructure",29.1%,technology
ONGC,GOAL 7: Affordable and Clean Energy,95.8%,"efficiency, renewable, wind, sustainable"
Gujarat Fluorochemicals Limited,GOAL 12: Responsible Consumption and Production,33.8%,
Reliance Power Ltd,GOAL 8: Decent Work and Economic Growth,64.5%,enterprise
HPCL,GOAL 8: Decent Work and Economic Growth,40.3%,"productivity, wages"
Adani Renewables,GOAL 7: Affordable and Clean Energy,97.2%,"solar, wind, sustainable, renewable, conservation"
