Company,Predicted SDG Component,Percentage Prediction,Keywords
Godrej Agrovet Ltd,GOAL 12: Responsible Consumption and Production,96.7%,
Dabur India Limited,GOAL 12: Responsible Consumption and Production,98.6%,efficiency
Radico,GOAL 13: Climate Action,38.8%,"policy, resilience"
Nestle India Limited,GOAL 12: Responsible Consumption and Production,95.9%,"sustainable, efficiency"
Avenue Supermarts Limited,GOAL 12: Responsible Consumption and Production,98.9%,
Godfrey phillips India Limited,GOAL 12: Responsible Consumption and Production,46.9%,
Godrej Consumer Products,GOAL 12: Responsible Consumption and Production,89.4%,
ITC Limited,GOAL 12: Responsible Consumption and Production,53.1%,"sustainable, packaging"
DCM Shriram Ltd,GOAL 12: Responsible Consumption and Production,96.7%,
HUL,GOAL 12: Responsible Consumption and Production,97.3%,"sustainable, packaging, renewable, reuse, efficiency"
Jyothy Labs Ltd,"GOAL 9: Industry, Innovation and Infrastructure",70.9%,"research, technology, manufacturing"
Britannia Industries,"GOAL 9: Industry, Innovation and Infrastructure",95.5%,"efficiency, manufacturing"
Gillette India,GOAL 12: Responsible Consumption and Production,97.7%,"packaging, sustainable, efficiency"
L T Foods Ltd,GOAL 10: Reduced Inequality,31.5%,equity
BBTC,GOAL 8: Decent Work and Economic Growth,75.7%,enterprise
P&G,GOAL 12: Responsible Consumption and Production,97.8%,"sustainable, packaging, efficiency"
Emami Limited,GOAL 12: Responsible Consumption and Production,83.5%,packaging
Shree Renuka Sugars Ltd,GOAL 12: Responsible Consumption and Production,96.0%,
United Spirits,GOAL 12: Responsible Consumption and Production,97.7%,"efficiency, packaging"
HAP,GOAL 2: Zero Hunger,70.6%,"malnutrition, plant"
Avanti Feeds Ltd,GOAL 14: Life Below Water,99.1%,
Patanjali Foods,"GOAL 9: Industry, Innovation and Infrastructure",76.5%,"manufacturing, logistics"
Colgate-Palmolive,GOAL 12: Responsible Consumption and Production,97.0%,packaging
Varun Beverages Limited,GOAL 12: Responsible Consumption and Production,86.9%,
