Company,Predicted SDG Component,Percentage Prediction,Keywords
Indraprastha Gas Limited,GOAL 7: Affordable and Clean Energy,54.1%,conservation
Adani Gas,GOAL 3: Good Health and Well-being,98.5%,
CESC Ltd,GOAL 12: Responsible Consumption and Production,97.9%,
Gujarat State Petronet Ltd,GOAL 12: Responsible Consumption and Production,94.6%,
KPI Green Energy Ltd,GOAL 8: Decent Work and Economic Growth,72.5%,
NTPC,"GOAL 16: Peace, Justice and Strong Institutions",91.2%,"governance, transparency, law"
SJVN Limited,GOAL 8: Decent Work and Economic Growth,51.2%,employment
Gujarat Gas,GOAL 12: Responsible Consumption and Production,95.1%,
Power Grid,GOAL 8: Decent Work and Economic Growth,50.5%,
Mahanagar Gas Ltd,GOAL 12: Responsible Consumption and Production,96.4%,efficiency
RattanIndia Power Ltd,GOAL 5: Gender Equality,85.0%,"equity, women, rights"
IndiGrid,GOAL 7: Affordable and Clean Energy,99.3%,
JSW Energy,GOAL 7: Affordable and Clean Energy,77.1%,"renewable, solar, efficiency, sustainable, conservation"
NHPC Limited,GOAL 12: Responsible Consumption and Production,58.9%,renewable
Adani Transmission,GOAL 7: Affordable and Clean Energy,33.1%,"solar, renewable, sustainable"
Adani Power,GOAL 13: Climate Action,81.0%,policy
Tata Power,GOAL 7: Affordable and Clean Energy,99.4%,"solar, efficiency, renewable, conservation, sustainable, grids"
GAIL,GOAL 12: Responsible Consumption and Production,75.1%,renewable
Adani Energy,GOAL 7: Affordable and Clean Energy,97.2%,"solar, wind, sustainable, renewable, conservation"
