Company,Predicted SDG Component,Percentage Prediction,Keywords
GRIL,GOAL 12: Responsible Consumption and Production,70.6%,
Anant Raj Ltd,GOAL 12: Responsible Consumption and Production,60.1%,
Godrej Properties Limited,GOAL 8: Decent Work and Economic Growth,31.3%,"workforce, enterprise"
Oberoi Realty,GOAL 12: Responsible Consumption and Production,98.5%,
Brigade ENterprises Limited,GOAL 8: Decent Work and Economic Growth,78.5%,"innovation, enterprise"
DLF Limited,GOAL 12: Responsible Consumption and Production,46.5%,
The Phoenix Mills Limited,GOAL 12: Responsible Consumption and Production,82.8%,sustainable
Mahindra Lifespace Developers Ltd,GOAL 12: Responsible Consumption and Production,97.7%,"sustainable, efficiency"
Valor Estate Ltd,GOAL 13: Climate Action,56.0%,policy
Puravankara Ltd,GOAL 12: Responsible Consumption and Production,97.7%,sustainable
Ganesh Housing Corporation Ltd,GOAL 12: Responsible Consumption and Production,94.8%,
