Company,Predicted SDG Component,Percentage Prediction,Keywords
Gujarat State Petronet Ltd,GOAL 12: Responsible Consumption and Production,95.4%,
IndiGrid,GOAL 8: Decent Work and Economic Growth,87.7%,
JSW Energy,GOAL 12: Responsible Consumption and Production,57.4%,"renewable, sustainable, efficiency"
GAIL,GOAL 12: Responsible Consumption and Production,43.2%,"sustainable, renewable, efficiency, biodegradable"
Gujarat Gas,GOAL 12: Responsible Consumption and Production,91.4%,
Indraprastha Gas Limited,"GOAL 9: Industry, Innovation and Infrastructure",18.3%,
NTPC,"GOAL 16: Peace, Justice and Strong Institutions",91.5%,"governance, law"
KPI Green Energy Ltd,"GOAL 9: Industry, Innovation and Infrastructure",97.1%,
CESC Ltd,GOAL 12: Responsible Consumption and Production,67.0%,
NHPC Limited,GOAL 12: Responsible Consumption and Production,96.3%,sustainable
Adani Power,GOAL 12: Responsible Consumption and Production,98.1%,sustainable
Mahanagar Gas Ltd,GOAL 12: Responsible Consumption and Production,85.1%,efficiency
PowerGrid,GOAL 8: Decent Work and Economic Growth,39.5%,"labor, employment"
Tata Power,GOAL 7: Affordable and Clean Energy,97.5%,"conservation, sustainable, efficiency, renewable, solar, wind"
Adani Energy,GOAL 7: Affordable and Clean Energy,46.2%,"renewable, sustainable, biomass, solar, efficiency"
RattanIndia Power Ltd,GOAL 12: Responsible Consumption and Production,97.0%,efficiency
Adani Transmission,GOAL 7: Affordable and Clean Energy,98.5%,"sustainable, renewable, efficiency, solar, wind"
Adani Gas,GOAL 7: Affordable and Clean Energy,93.7%,"sustainable, efficiency"
SJVN Limited,GOAL 7: Affordable and Clean Energy,36.1%,"solar, renewable, sustainable, efficiency, conservation, wind"
