Company,Predicted SDG Component,Percentage Prediction,Keywords
Jyothy Labs Ltd,"GOAL 9: Industry, Innovation and Infrastructure",70.8%,technology
L T Foods Ltd,GOAL 12: Responsible Consumption and Production,97.7%,"efficiency, sustainable"
DCM Shriram Ltd,GOAL 12: Responsible Consumption and Production,97.0%,efficiency
Patanjali Foods,GOAL 12: Responsible Consumption and Production,89.8%,"sustainable, renewable"
Avenue Supermarts Limited,GOAL 12: Responsible Consumption and Production,98.7%,
Dabur India Limited,GOAL 12: Responsible Consumption and Production,95.9%,"sustainable, recycling, efficiency"
ITC,"GOAL 9: Industry, Innovation and Infrastructure",99.3%,"manufacturing, technology"
HUL,GOAL 8: Decent Work and Economic Growth,36.0%,"workforce, productivity, employment"
Godrej Consumer Products,GOAL 12: Responsible Consumption and Production,97.5%,sustainable
Gillette India,GOAL 12: Responsible Consumption and Production,94.7%,efficiency
Nestle India Limited,GOAL 12: Responsible Consumption and Production,85.9%,efficiency
Britannia Industries,"GOAL 9: Industry, Innovation and Infrastructure",97.1%,"efficiency, manufacturing"
Godrej Agrovet Ltd,GOAL 2: Zero Hunger,63.0%,"agriculture, sustainability, plant"
Radico,GOAL 12: Responsible Consumption and Production,66.7%,sustainable
Godfrey Phillips India Limited,GOAL 8: Decent Work and Economic Growth,37.7%,workforce
Varun Beverages Limited,GOAL 12: Responsible Consumption and Production,70.4%,
Shree Renuka Sugars Ltd,GOAL 12: Responsible Consumption and Production,94.3%,
Emami Limited,GOAL 8: Decent Work and Economic Growth,66.2%,"employment, innovation, enterprise"
P&G,GOAL 12: Responsible Consumption and Production,97.8%,"packaging, efficiency"
HAP,GOAL 12: Responsible Consumption and Production,57.7%,
Avanti Feeds Ltd,GOAL 12: Responsible Consumption and Production,85.4%,sustainable
Colgate-Palmolive,GOAL 12: Responsible Consumption and Production,97.4%,packaging
United Spirits,GOAL 12: Responsible Consumption and Production,95.6%,
BBTC,GOAL 8: Decent Work and Economic Growth,76.0%,enterprise
