Company,Predicted SDG Component,Percentage Prediction,Keywords
IndianOil,GOAL 12: Responsible Consumption and Production,97.3%,"sustainable, efficiency"
Coal India Limited,GOAL 7: Affordable and Clean Energy,94.6%,"renewable, sustainable, solar, conservation"
Reliance Power Ltd,"GOAL 9: Industry, Innovation and Infrastructure",73.9%,technology
Aban,GOAL 12: Responsible Consumption and Production,60.4%,
Castrol,GOAL 8: Decent Work and Economic Growth,49.3%,"productivity, enterprise, workforce, employment"
Reliance,"GOAL 9: Industry, Innovation and Infrastructure",32.1%,"technology, automation, research, logistics, manufacturing, efficiency"
Petronet LNG,GOAL 12: Responsible Consumption and Production,49.9%,sustainable
Chennai Petroleum Corporation Ltd,GOAL 12: Responsible Consumption and Production,52.4%,
Gujarat Mineral Development Corporation Ltd,"GOAL 16: Peace, Justice and Strong Institutions",80.9%,"governance, corruption"
HPCL,GOAL 8: Decent Work and Economic Growth,60.4%,wages
ONGC,GOAL 13: Climate Action,22.8%,policy
Gujarat Fluorochemicals Limited,GOAL 12: Responsible Consumption and Production,59.7%,efficiency
BPCL,GOAL 12: Responsible Consumption and Production,95.6%,sustainable
MRPL,GOAL 8: Decent Work and Economic Growth,32.3%,enterprise
Adani Renewables,GOAL 7: Affordable and Clean Energy,49.3%,"sustainable, biomass, renewable, solar, wind, electrification"
