Company,Predicted SDG Component,Percentage Prediction,Keywords
Tata power,GOAL 13: Climate Action,37.4%,"emissions, mitigation, policy"
IndiGrid,GOAL 8: Decent Work and Economic Growth,87.8%,innovation
Powergrid,GOAL 8: Decent Work and Economic Growth,53.3%,employment
Adani Power,GOAL 12: Responsible Consumption and Production,98.2%,renewable
Indraprastha Gas Limited,GOAL 12: Responsible Consumption and Production,14.7%,sustainable
Gujarat State Petronet Ltd,GOAL 12: Responsible Consumption and Production,94.3%,
Adani Gas,GOAL 7: Affordable and Clean Energy,93.4%,efficiency
NHPC Limited,GOAL 12: Responsible Consumption and Production,96.1%,renewable
KPI Green Energy Ltd,GOAL 8: Decent Work and Economic Growth,72.9%,productivity
Gujarat Gas,GOAL 12: Responsible Consumption and Production,91.0%,
Mahanagar Gas Ltd,GOAL 12: Responsible Consumption and Production,84.1%,
RattanIndia Power Ltd,GOAL 12: Responsible Consumption and Production,97.2%,renewable
GAIL,GOAL 7: Affordable and Clean Energy,98.0%,"efficiency, solar, wind"
SJVN Limited,GOAL 7: Affordable and Clean Energy,67.9%,"sustainable, renewable, solar, wind, biomass, conservation"
NTPC,"GOAL 16: Peace, Justice and Strong Institutions",91.2%,"governance, law"
Adani Transmission,GOAL 12: Responsible Consumption and Production,83.5%,"renewable, sustainable"
CESC Ltd,GOAL 12: Responsible Consumption and Production,98.3%,recycling
JSW Energy,GOAL 7: Affordable and Clean Energy,91.6%,"sustainable, renewable, efficiency, electrification, conservation"
Adani Energy,GOAL 7: Affordable and Clean Energy,49.3%,"sustainable, biomass, renewable, solar, wind, electrification"
