Company,Predicted SDG Component,Percentage Prediction,Keywords
Godfrey Phillips India Limited,GOAL 5: Gender Equality,96.8%,"rights, equity, advocacy"
ITC,"GOAL 9: Industry, Innovation and Infrastructure",99.4%,"technology, manufacturing, research, logistics"
Shree Renuka Sugars Ltd,GOAL 2: Zero Hunger,89.8%,"crops, plant"
Jyothy Labs Ltd,"GOAL 9: Industry, Innovation and Infrastructure",85.4%,"efficiency, technology, research, manufacturing"
Avanti Feeds Ltd,GOAL 12: Responsible Consumption and Production,89.8%,efficiency
HUL,GOAL 12: Responsible Consumption and Production,88.3%,"sustainable, efficiency"
HAP,GOAL 5: Gender Equality,98.3%,"equity, rights"
United Spirits Limited,GOAL 12: Responsible Consumption and Production,31.4%,sustainable
Godrej Consumer Products,GOAL 12: Responsible Consumption and Production,96.5%,
P&G,GOAL 12: Responsible Consumption and Production,95.7%,
Britannia Industries,GOAL 8: Decent Work and Economic Growth,89.8%,"wages, innovation"
L T Foods Ltd,GOAL 7: Affordable and Clean Energy,55.1%,
Avenue Supermarts Limited,GOAL 12: Responsible Consumption and Production,97.5%,
BBTC,GOAL 8: Decent Work and Economic Growth,69.7%,enterprise
Radico,GOAL 12: Responsible Consumption and Production,95.6%,sustainable
Nestle India Limited,GOAL 12: Responsible Consumption and Production,96.4%,"sustainable, packaging, efficiency"
Emami Limited,GOAL 3: Good Health and Well-being,37.7%,"healthcare, hygiene, wellness"
Patanjali Foods,GOAL 12: Responsible Consumption and Production,88.5%,
Godrej Agrovet Ltd,GOAL 2: Zero Hunger,90.2%,"plant, agriculture, sustainability"
DCM Shriram Ltd,GOAL 12: Responsible Consumption and Production,93.2%,
Gillette India,GOAL 12: Responsible Consumption and Production,96.7%,sustainable
Colgate-Palmolive,GOAL 12: Responsible Consumption and Production,97.6%,sustainable
Varun Beverages Limited,"GOAL 9: Industry, Innovation and Infrastructure",67.3%,
Dabur India Limited,GOAL 12: Responsible Consumption and Production,99.1%,"recycling, efficiency, packaging"
