Company,Predicted SDG Component,Percentage Prediction,Keywords
DLF Limited,GOAL 3: Good Health and Well-being,46.1%,"vaccination, healthcare, prevention"
Mahindra Lifespace Developers Ltd,GOAL 12: Responsible Consumption and Production,52.7%,"sustainable, efficiency"
Valor Estate Ltd,GOAL 3: Good Health and Well-being,89.9%,"vaccination, prevention"
GRIL,GOAL 12: Responsible Consumption and Production,70.3%,"sustainable, efficiency"
Anant Raj Ltd,GOAL 12: Responsible Consumption and Production,97.3%,
Brigade Enterprises Limited,GOAL 12: Responsible Consumption and Production,31.0%,"efficiency, renewable, sustainable"
The Phoenix Mills Limited,GOAL 12: Responsible Consumption and Production,80.1%,"sustainable, efficiency, recycling"
Godrej Properties,GOAL 12: Responsible Consumption and Production,98.3%,sustainable
Oberoi Realty,GOAL 3: Good Health and Well-being,74.0%,
Ganesh Housing Corporation Ltd,GOAL 12: Responsible Consumption and Production,85.5%,
Puravankara Ltd,GOAL 12: Responsible Consumption and Production,87.3%,
