Company,Predicted SDG Component,Percentage Prediction,Keywords
Castrol,GOAL 12: Responsible Consumption and Production,97.5%,"sustainable, efficiency, packaging, renewable"
Reliance Power Ltd,"GOAL 9: Industry, Innovation and Infrastructure",88.0%,construction
Gujarat Mineral Development Corporation Ltd,GOAL 12: Responsible Consumption and Production,96.6%,sustainable
BPCL,GOAL 12: Responsible Consumption and Production,97.5%,"renewable, sustainable, efficiency"
Aban,GOAL 12: Responsible Consumption and Production,66.5%,
Coal India,GOAL 8: Decent Work and Economic Growth,65.8%,"innovation, enterprise, wages, employment"
MRPL,"GOAL 16: Peace, Justice and Strong Institutions",99.8%,"governance, fairness"
Reliance,GOAL 7: Affordable and Clean Energy,85.7%,"sustainable, biomass, renewable, solar, efficiency, conservation"
Petronet LNG Limited,GOAL 12: Responsible Consumption and Production,58.4%,
Adani Renewables,GOAL 10: Reduced Inequality,32.3%,"equity, access"
HPLC,GOAL 12: Responsible Consumption and Production,35.3%,recycling
ONGC,GOAL 7: Affordable and Clean Energy,96.9%,"efficiency, sustainable"
Chennai Petroleum Corporation Ltd,GOAL 13: Climate Action,78.7%,policy
Gujarat Fluorochemicals Limited,GOAL 12: Responsible Consumption and Production,95.3%,
IndianOil,GOAL 12: Responsible Consumption and Production,80.9%,
