Company,Predicted SDG Component,Percentage Prediction,Keywords
Renergen,GOAL 7: Affordable and Clean Energy,95.90%,
Exxaro,GOAL 7: Affordable and Clean Energy,92.30%,sustainable
Deep Yellow,"GOAL 9: Industry, Innovation and Infrastructure",49.80%,construction
Paladin,"GOAL 16: Peace, Justice and Strong Institutions",70.80%,governance
MC Mining,GOAL 8: Decent Work and Economic Growth,88.70%,employment
Bannerman Energy,"GOAL 9: Industry, Innovation and Infrastructure",98.70%,construction
