Company,Predicted SDG Component,Percentage Prediction,Keywords
AOE,GOAL 12: Responsible Consumption and Production,90.9%,
Richemont,GOAL 5: Gender Equality,26.5%,
Bidcorp,"GOAL 9: Industry, Innovation and Infrastructure",89.6%,technology
Motus,GOAL 12: Responsible Consumption and Production,58.5%,
CMH Group,"GOAL 9: Industry, Innovation and Infrastructure",51.7%,
Shoprite,GOAL 12: Responsible Consumption and Production,95.5%,
Pick n Pay,GOAL 8: Decent Work and Economic Growth,81.1%,"innovation, employment"
Namibia Breweries Limited,GOAL 12: Responsible Consumption and Production,74.4%,"sustainable, packaging, recycling, efficiency"
City Lodge Hotels,GOAL 12: Responsible Consumption and Production,63.6%,
Grindrod,GOAL 12: Responsible Consumption and Production,87.3%,
Novus-Holdings,GOAL 12: Responsible Consumption and Production,82.4%,
Homechoice,GOAL 11: Sustainable Cities and Communities,15.4%,
Nictus,GOAL 12: Responsible Consumption and Production,40.0%,"sustainable, efficiency"
Rex Trueform,GOAL 12: Responsible Consumption and Production,93.7%,
Italtile,GOAL 12: Responsible Consumption and Production,35.3%,sustainable
Pepkor,GOAL 12: Responsible Consumption and Production,97.5%,
Mpact,GOAL 12: Responsible Consumption and Production,99.0%,"packaging, recycling"
Woolworths,GOAL 5: Gender Equality,99.3%,"rights, women"
KAL Group,"GOAL 16: Peace, Justice and Strong Institutions",66.6%,
Cashbuild,GOAL 8: Decent Work and Economic Growth,80.6%,
Metair,GOAL 5: Gender Equality,99.5%,"women, equity, rights"
Nampak,GOAL 12: Responsible Consumption and Production,75.8%,packaging
Lewis_IR,GOAL 12: Responsible Consumption and Production,85.4%,
Famous Brands,GOAL 15: Life on Land,23.7%,
Nictus Holdings,GOAL 12: Responsible Consumption and Production,52.1%,
