Company,Predicted SDG Component,Percentage Prediction,Keywords
Argent Industrial Limited,GOAL 12: Responsible Consumption and Production,45.90%,
York Timbers,GOAL 12: Responsible Consumption and Production,88.30%,
Wesizwe,GOAL 8: Decent Work and Economic Growth,49.50%,
PPC,GOAL 12: Responsible Consumption and Production,43.60%,
AngloAmerican,GOAL 12: Responsible Consumption and Production,73.00%,"sustainable, renewable"
Northam,GOAL 3: Good Health and Well-being,93.80%,
South32,GOAL 12: Responsible Consumption and Production,51.10%,
Implats,GOAL 11: Sustainable Cities and Communities,15.40%,
Sabvest Capital Limited,GOAL 8: Decent Work and Economic Growth,52.00%,
Sasol,GOAL 13: Climate Action,72.20%,"resilience, emissions"
Salungano Group,GOAL 12: Responsible Consumption and Production,90.30%,
Jubilee Metals Group,GOAL 12: Responsible Consumption and Production,71.70%,
BHP,GOAL 12: Responsible Consumption and Production,91.00%,packaging
Randgold-Exploration-Company-Ltd-,GOAL 12: Responsible Consumption and Production,84.40%,
Merafe Resources,GOAL 8: Decent Work and Economic Growth,53.70%,employment
Glencore,GOAL 12: Responsible Consumption and Production,90.90%,sustainable
Kore Potash PLC,GOAL 12: Responsible Consumption and Production,97.90%,
AngloGold Ashanti,GOAL 12: Responsible Consumption and Production,89.20%,"efficiency, sustainable"
ArcelorMittal,GOAL 12: Responsible Consumption and Production,88.30%,
DRDGold,GOAL 12: Responsible Consumption and Production,92.00%,
orion Minerals,GOAL 12: Responsible Consumption and Production,98.40%,"sustainable, renewable"
B2Gold,GOAL 12: Responsible Consumption and Production,97.50%,sustainable
Sibanye Stillwater,GOAL 12: Responsible Consumption and Production,97.60%,efficiency
Andrada,GOAL 12: Responsible Consumption and Production,79.70%,
Goldfields,"GOAL 9: Industry, Innovation and Infrastructure",41.00%,construction
Brikor,GOAL 12: Responsible Consumption and Production,39.50%,efficiency
Gemfields,GOAL 8: Decent Work and Economic Growth,75.70%,
ARM-,GOAL 11: Sustainable Cities and Communities,15.40%,
Afrimat,GOAL 3: Good Health and Well-being,85.40%,
Pan-African Resources,GOAL 12: Responsible Consumption and Production,46.90%,
Mondi,GOAL 12: Responsible Consumption and Production,73.10%,"sustainable, packaging"
Kumba Iron Ore,GOAL 12: Responsible Consumption and Production,95.10%,
SEAM,GOAL 12: Responsible Consumption and Production,86.90%,
Harmony,GOAL 12: Responsible Consumption and Production,19.60%,
AECI,GOAL 12: Responsible Consumption and Production,88.00%,
