Company,Predicted SDG Component,Percentage Prediction,Keywords
Libstar,"GOAL 16: Peace, Justice and Strong Institutions",41.90%,governance
BAT,GOAL 12: Responsible Consumption and Production,90.20%,sustainable
AH_VEST,GOAL 8: Decent Work and Economic Growth,49.70%,
Astral,GOAL 2: Zero Hunger,89.00%,"sustainability, agriculture"
ABInBev,GOAL 12: Responsible Consumption and Production,92.70%,"sustainable, packaging, efficiency"
Curro,GOAL 12: Responsible Consumption and Production,89.70%,sustainable
Brimstone,GOAL 8: Decent Work and Economic Growth,45.20%,
AVI,"GOAL 9: Industry, Innovation and Infrastructure",79.40%,
Choppies,GOAL 12: Responsible Consumption and Production,86.30%,
Crookes Brothers,GOAL 5: Gender Equality,99.50%,"women, equity, rights, empowerment"
ADvTech,"GOAL 9: Industry, Innovation and Infrastructure",85.50%,research
Oceana Group,GOAL 8: Decent Work and Economic Growth,89.20%,workforce
Quantum Foods,GOAL 12: Responsible Consumption and Production,71.30%,
RCL Foods,GOAL 8: Decent Work and Economic Growth,54.90%,
Sea Harvest Group,GOAL 2: Zero Hunger,70.20%,
