Company,Predicted SDG Component,Percentage Prediction,Keywords
EOH,"GOAL 9: Industry, Innovation and Infrastructure",99.6%,technology
Datatec,"GOAL 9: Industry, Innovation and Infrastructure",99.0%,technology
MTN,GOAL 8: Decent Work and Economic Growth,47.7%,
PBT Group,GOAL 12: Responsible Consumption and Production,98.7%,
Nu-World,"GOAL 9: Industry, Innovation and Infrastructure",78.7%,manufacturing
Mustek,GOAL 12: Responsible Consumption and Production,83.8%,efficiency
Lesaka,GOAL 8: Decent Work and Economic Growth,77.6%,employment
AYO Technology,"GOAL 9: Industry, Innovation and Infrastructure",97.7%,
