Company,Predicted SDG Component,Percentage Prediction,Keywords
Mr-Price,GOAL 12: Responsible Consumption and Production,82.8%,
Caxton & CTP,GOAL 12: Responsible Consumption and Production,99.0%,packaging
Huge Group,GOAL 12: Responsible Consumption and Production,72.3%,sustainable
Prosus,"GOAL 16: Peace, Justice and Strong Institutions",90.6%,"governance, law"
Naspers,GOAL 8: Decent Work and Economic Growth,32.2%,
Paratus,GOAL 8: Decent Work and Economic Growth,46.9%,enterprise
AME,"GOAL 9: Industry, Innovation and Infrastructure",60.0%,
Multichoice,GOAL 12: Responsible Consumption and Production,97.7%,
eMedia,GOAL 13: Climate Action,28.7%,
Blue Label,GOAL 12: Responsible Consumption and Production,29.8%,
Vodacom,GOAL 12: Responsible Consumption and Production,93.5%,
