Company,Predicted SDG Component,Percentage Prediction,Keywords
Frontier Transport Holdings,GOAL 12: Responsible Consumption and Production,57.7%,
enX Group,GOAL 11: Sustainable Cities and Communities,15.4%,
Invicta,"GOAL 9: Industry, Innovation and Infrastructure",36.4%,technology
Reunert,GOAL 7: Affordable and Clean Energy,95.3%,
Hulamin,GOAL 8: Decent Work and Economic Growth,82.3%,
DRA Global,GOAL 7: Affordable and Clean Energy,96.5%,
Hudaco,"GOAL 9: Industry, Innovation and Infrastructure",57.2%,"manufacturing, logistics"
Bell,"GOAL 9: Industry, Innovation and Infrastructure",79.7%,manufacturing
Barloworld,GOAL 5: Gender Equality,93.3%,equity
Raubex,GOAL 12: Responsible Consumption and Production,76.8%,
CAS,GOAL 12: Responsible Consumption and Production,79.9%,
Celcius resources,GOAL 12: Responsible Consumption and Production,44.0%,sustainable
HCI,GOAL 12: Responsible Consumption and Production,96.3%,"renewable, sustainable"
South Ocean Holdings,GOAL 8: Decent Work and Economic Growth,66.6%,
Master Drilling,GOAL 12: Responsible Consumption and Production,76.6%,
Adcorp,GOAL 5: Gender Equality,99.2%,"women, equity"
KAP,GOAL 11: Sustainable Cities and Communities,15.4%,
Aveng,"GOAL 9: Industry, Innovation and Infrastructure",86.9%,"manufacturing, construction, logistics"
Workfore,GOAL 12: Responsible Consumption and Production,30.9%,
Santova,"GOAL 9: Industry, Innovation and Infrastructure",83.4%,logistics
WBHO,GOAL 13: Climate Action,48.0%,"resilience, policy"
Murray & Roberts,GOAL 8: Decent Work and Economic Growth,61.0%,employment
Insimbi,GOAL 12: Responsible Consumption and Production,98.5%,
Metrofile Group,GOAL 11: Sustainable Cities and Communities,15.4%,
Omnia,GOAL 8: Decent Work and Economic Growth,51.4%,employment
Deneb,GOAL 2: Zero Hunger,98.4%,
