Company,Predicted SDG Component,Percentage Prediction,Keywords
MC Mining,"GOAL 9: Industry, Innovation and Infrastructure",64.8%,construction
Deep Yellow,GOAL 12: Responsible Consumption and Production,62.6%,sustainable
Renergen,GOAL 12: Responsible Consumption and Production,83.0%,
Paladin,GOAL 12: Responsible Consumption and Production,91.2%,sustainable
Exxaro,GOAL 7: Affordable and Clean Energy,98.6%,"renewable, sustainable, efficiency"
Bannerman Energy,"GOAL 9: Industry, Innovation and Infrastructure",97.8%,technology
