Company,Predicted SDG Component,Percentage Prediction,Keywords
Grindrod,"GOAL 16: Peace, Justice and Strong Institutions",97.9%,"corruption, governance, fairness, accountability"
KAL Group,GOAL 8: Decent Work and Economic Growth,86.5%,
Nictus,GOAL 12: Responsible Consumption and Production,82.2%,sustainable
Shoprite,GOAL 12: Responsible Consumption and Production,85.0%,"renewable, recycling"
Famous Brands,GOAL 12: Responsible Consumption and Production,89.9%,
Woolworths,GOAL 11: Sustainable Cities and Communities,15.4%,
Cashbuild,"GOAL 9: Industry, Innovation and Infrastructure",94.4%,efficiency
Nictus Holdings,GOAL 12: Responsible Consumption and Production,50.6%,
Pick n Pay,GOAL 8: Decent Work and Economic Growth,60.6%,
City Lodge Hotels,GOAL 12: Responsible Consumption and Production,93.7%,sustainable
CMH Group,GOAL 11: Sustainable Cities and Communities,90.6%,
Motus,"GOAL 9: Industry, Innovation and Infrastructure",63.9%,technology
Mpact,GOAL 12: Responsible Consumption and Production,98.0%,"recycling, packaging"
Italtile,"GOAL 9: Industry, Innovation and Infrastructure",96.4%,
Rex Trueform,GOAL 12: Responsible Consumption and Production,39.6%,
Novus-Holdings-,GOAL 12: Responsible Consumption and Production,89.7%,packaging
Metair,"GOAL 9: Industry, Innovation and Infrastructure",45.9%,"manufacturing, technology"
Pepkor,GOAL 12: Responsible Consumption and Production,54.6%,
Namibia Breweries Limited,GOAL 6: Clean Water and Sanitation,97.9%,potable
Lewis_IAR_,GOAL 4: Quality Education,69.8%,
Richemont,GOAL 5: Gender Equality,28.5%,
Nampak,GOAL 12: Responsible Consumption and Production,32.7%,packaging
AOE,GOAL 12: Responsible Consumption and Production,40.7%,
Homechoice,GOAL 11: Sustainable Cities and Communities,15.4%,
Bidcorp,"GOAL 16: Peace, Justice and Strong Institutions",68.6%,"governance, fairness, transparency"
