Company,Predicted SDG Component,Percentage Prediction,Keywords
Datatec,"GOAL 9: Industry, Innovation and Infrastructure",94.7%,
AYO Technology,"GOAL 9: Industry, Innovation and Infrastructure",99.0%,technology
PBT Group,GOAL 12: Responsible Consumption and Production,99.0%,"sustainable, efficiency"
EOH,GOAL 12: Responsible Consumption and Production,96.8%,
Nu-World-,"GOAL 9: Industry, Innovation and Infrastructure",79.1%,manufacturing
Lesaka,GOAL 8: Decent Work and Economic Growth,20.1%,innovation
Mustek,"GOAL 9: Industry, Innovation and Infrastructure",99.2%,technology
MTN,GOAL 8: Decent Work and Economic Growth,46.8%,workforce
