Company,Predicted SDG Component,Percentage Prediction,Keywords
PBT Group,GOAL 12: Responsible Consumption and Production,98.9%,
EOH,GOAL 11: Sustainable Cities and Communities,15.4%,
AYO Technology,"GOAL 9: Industry, Innovation and Infrastructure",99.6%,technology
Lesaka,"GOAL 9: Industry, Innovation and Infrastructure",89.3%,
Nu-World-,"GOAL 9: Industry, Innovation and Infrastructure",94.8%,"manufacturing, technology"
MTN,GOAL 12: Responsible Consumption and Production,73.5%,sustainable
Datatec,"GOAL 9: Industry, Innovation and Infrastructure",80.7%,
Mustek,"GOAL 9: Industry, Innovation and Infrastructure",98.7%,technology
