Company,Predicted SDG Component,Percentage Prediction,Keywords
Renergen,GOAL 12: Responsible Consumption and Production,68.0%,efficiency
MC Mining,GOAL 8: Decent Work and Economic Growth,51.4%,employment
Bannerman Energy,"GOAL 9: Industry, Innovation and Infrastructure",98.4%,construction
Paladin,GOAL 12: Responsible Consumption and Production,91.9%,sustainable
Deep Yellow,GOAL 12: Responsible Consumption and Production,76.1%,"sustainable, renewable"
Exxaro,GOAL 7: Affordable and Clean Energy,97.0%,"sustainable, efficiency"
