Company,Predicted SDG Component,Percentage Prediction,Keywords
Naspers,GOAL 11: Sustainable Cities and Communities,15.4%,
Multichoice,GOAL 12: Responsible Consumption and Production,96.4%,
eMedia,GOAL 11: Sustainable Cities and Communities,15.4%,
Caxton & CTP,GOAL 12: Responsible Consumption and Production,98.9%,packaging
Mr-Price-Group-,GOAL 8: Decent Work and Economic Growth,43.6%,enterprise
Huge Group,"GOAL 16: Peace, Justice and Strong Institutions",83.3%,"governance, corruption"
Paratus,GOAL 12: Responsible Consumption and Production,91.6%,sustainable
Prosus,GOAL 12: Responsible Consumption and Production,76.8%,
Blue Label,GOAL 8: Decent Work and Economic Growth,87.2%,enterprise
Vodacom,GOAL 10: Reduced Inequality,49.4%,equity
AME,GOAL 7: Affordable and Clean Energy,42.7%,
