Company,Predicted SDG Component,Percentage Prediction,Keywords
Reunert,GOAL 12: Responsible Consumption and Production,61.3%,
KAP,GOAL 11: Sustainable Cities and Communities,15.4%,
DRA Global,GOAL 8: Decent Work and Economic Growth,35.4%,"innovation, employment"
Master Drilling,GOAL 7: Affordable and Clean Energy,63.3%,
Raubex,GOAL 12: Responsible Consumption and Production,79.7%,"renewable, sustainable"
Murray & Roberts,GOAL 12: Responsible Consumption and Production,91.3%,"efficiency, sustainable"
Santova,GOAL 11: Sustainable Cities and Communities,15.4%,
Hudaco,"GOAL 9: Industry, Innovation and Infrastructure",73.0%,"construction, manufacturing, logistics"
Celcius resources,GOAL 8: Decent Work and Economic Growth,36.8%,employment
Frontier Transport Holdings,GOAL 12: Responsible Consumption and Production,57.5%,
HCI 2,GOAL 12: Responsible Consumption and Production,94.9%,efficiency
Insimbi,GOAL 12: Responsible Consumption and Production,77.0%,
Barloworld,GOAL 12: Responsible Consumption and Production,86.9%,sustainable
enX Group,"GOAL 9: Industry, Innovation and Infrastructure",48.6%,
South Ocean Holdings,GOAL 8: Decent Work and Economic Growth,69.4%,
Aveng,GOAL 12: Responsible Consumption and Production,56.1%,"efficiency, sustainable"
Adcorp,GOAL 12: Responsible Consumption and Production,90.5%,
Invicta,GOAL 12: Responsible Consumption and Production,93.1%,sustainable
Deneb,GOAL 2: Zero Hunger,97.7%,
CAS,GOAL 12: Responsible Consumption and Production,98.7%,
Bell,"GOAL 9: Industry, Innovation and Infrastructure",82.4%,manufacturing
Omnia,GOAL 7: Affordable and Clean Energy,98.8%,
Workfore,GOAL 12: Responsible Consumption and Production,35.4%,
Hulamin,GOAL 8: Decent Work and Economic Growth,87.6%,"employment, workforce"
Metrofile Group,GOAL 11: Sustainable Cities and Communities,15.4%,
WBHO,GOAL 12: Responsible Consumption and Production,91.2%,
