Company,Predicted SDG Component,Percentage Prediction,Keywords
Wesizwe,GOAL 12: Responsible Consumption and Production,85.1%,
Sabvest Capital Limited,GOAL 8: Decent Work and Economic Growth,71.5%,
York Timbers,GOAL 12: Responsible Consumption and Production,94.9%,
Sibanye Stillwater,GOAL 12: Responsible Consumption and Production,56.7%,recycling
ArcelorMittal,GOAL 7: Affordable and Clean Energy,78.5%,wind
Brikor,GOAL 11: Sustainable Cities and Communities,15.4%,
Jubilee Metals Group,GOAL 8: Decent Work and Economic Growth,31.0%,employment
Gemfields,GOAL 8: Decent Work and Economic Growth,80.6%,
Kumba Iron Ore,GOAL 12: Responsible Consumption and Production,95.9%,
DRDGold,GOAL 11: Sustainable Cities and Communities,70.9%,"infrastructure, resilience"
Merafe Resources,GOAL 12: Responsible Consumption and Production,46.0%,sustainable
Sasol,GOAL 7: Affordable and Clean Energy,97.8%,"sustainable, efficiency, renewable"
South32,GOAL 8: Decent Work and Economic Growth,62.4%,"innovation, employment, workforce"
Afrimat-,"GOAL 16: Peace, Justice and Strong Institutions",44.5%,governance
Randgold-Exploration-Company-Ltd-,GOAL 12: Responsible Consumption and Production,89.2%,
Harmony,GOAL 8: Decent Work and Economic Growth,27.7%,
Andrada,"GOAL 9: Industry, Innovation and Infrastructure",58.4%,
Goldfields,GOAL 12: Responsible Consumption and Production,94.0%,
PPC,GOAL 12: Responsible Consumption and Production,91.8%,"sustainable, efficiency"
AngloGold Ashanti,GOAL 8: Decent Work and Economic Growth,67.1%,
ARM-,GOAL 11: Sustainable Cities and Communities,15.4%,
B2Gold-,GOAL 11: Sustainable Cities and Communities,15.4%,
BHP,GOAL 12: Responsible Consumption and Production,77.9%,"renewable, sustainable, efficiency"
AECI,GOAL 12: Responsible Consumption and Production,69.1%,sustainable
Kore Potash PLC,GOAL 12: Responsible Consumption and Production,87.0%,sustainable
Pan-African Resources,GOAL 8: Decent Work and Economic Growth,58.0%,
Glencore,GOAL 12: Responsible Consumption and Production,98.4%,sustainable
Mondi,GOAL 12: Responsible Consumption and Production,92.9%,sustainable
Northam,GOAL 12: Responsible Consumption and Production,58.6%,
Argent Industrial Limited,GOAL 5: Gender Equality,69.6%,
Implats,GOAL 11: Sustainable Cities and Communities,15.4%,
AngloAmerican,GOAL 8: Decent Work and Economic Growth,53.0%,innovation
Salungano Group,GOAL 7: Affordable and Clean Energy,96.1%,
SEAM,"GOAL 16: Peace, Justice and Strong Institutions",86.5%,governance
orion Minerals,GOAL 12: Responsible Consumption and Production,83.1%,
